ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
7090	8524	8527	M	A	Genistein	41.8	176	270	227			1
1358	8622	8568	M	A	IC	35	152	236	230			2
6736	8619	8552	F	A	5Aza		196	287	237	63	8	1
1579	8666	8530	M	A	Bisphenol	33	159	277	251			2
1586	8608	8589	M	A	Bisphenol	36	161	219	260			2
6545	8538	8604	M	A	IC	34	153	217	265			1
2118	8541	8667	F	A	Control	45	182	298	266	55	4	2
7095	8626	8644	M	A	Genistein	40.7	153	226	269			1
1356	8641	8620	M	A	IC	45	186	287	271			2
6746	8538	8604	M	A	5Aza	39	141	221	272			1
1759	8563	8657	M	A	Genistein	37	147	229	273			2
7343	8608	8589	M	A	Control	44.1	171	240	275			1
7284	8598	8633	F	A	Control	46	176	241	276	59	13	1
6910	8608	8589	M	A	Bisphenol	28	175	222	276			1
1820	8608	8589	M	A	Genistein	35	156	215	278			2
1519	8563	8657	M	A	Bisphenol	41	152	219	282			2
6911	8608	8589	M	A	Bisphenol	35.7	156	237	284			1
1532	8557	8623	M	A	Bisphenol	32	144	245	286			2
1585	8608	8589	F	A	Bisphenol	39	171	256	287	54	23	2
6898	8630	8631	M	A	Bisphenol	45	174	233	289			1
1960	8567	8582	M	A	5Aza	43	170	238	290			2
7310	8626	8644	M	A	Control	40	152	226	291			1
6517	8516	8649	F	A	IC	37.9	151	211	293	56	16	1
1788	8509	8533	M	A	Genistein	45	164	235	293			2
2094	8563	8657	M	A	Control	39	167	251	295			2
1324	8606	8537	M	A	IC	37	157	231	296			2
1580	8546	8525	M	A	Bisphenol	43	154	224	296			2
1978	8666	8530	F	A	5Aza	45	192	298	298	53	24	2
1821	8608	8589	M	A	Genistein	43	178	245	298			2
2158	8671	8659	M	A	Control	32	162	234	299			2
6895	8538	8604	M	A	Bisphenol	31.3	147	218	302			1
7324	8538	8604	M	A	Control	38	155	220	302			1
7315	8503	8571	M	A	Control	44	167	235	302			1
