id	cage	line	date	hour	batch	count
6666	1	DD	21/11/2016	8	1	1
6666	1	DD	22/11/2016	8	1	1
6666	1	DD	23/11/2016	9	1	1
6666	1	DD	24/11/2016	8	1	1
6666	1	DD	25/11/2016	9	1	1
6666	1	DD	26/11/2016	11	1	1
6666	1	DD	28/11/2016	9	1	1
6666	1	DD	29/11/2016	14	1	1
6666	1	DD	30/11/2016	9	1	1
6666	1	DD	30/11/2016	10	1	1
6666	1	DD	02/12/2016	8	1	1
6666	1	DD	03/12/2016	9	1	1
6666	1	DD	04/12/2016	9	1	1
6666	1	DD	05/12/2016	9	1	1
6666	1	DD	06/12/2016	11	1	1
6666	1	DD	07/12/2016	9	1	1
6666	1	DD	08/12/2016	13	1	1
6666	1	DD	09/12/2016	13	1	1
6666	1	DD	10/12/2016	9	1	1
6666	1	DD	11/12/2016	9	1	1
6666	1	DD	12/12/2016	9	1	1
6666	1	DD	13/12/2016	11	1	1
6666	1	DD	14/12/2016	10	1	1
6666	1	DD	15/12/2016	11	1	1
7177	3	B	21/11/2016	8	1	1
7177	3	B	23/11/2016	9	1	1
7177	3	B	24/11/2016	8	1	1
7177	3	B	25/11/2016	9	1	1
7177	3	B	26/11/2016	11	1	1
7177	3	B	27/11/2016	11	1	1
7177	3	B	30/11/2016	10	1	1
7177	3	B	01/12/2016	11	1	1
7177	3	B	02/12/2016	8	1	1
7177	3	B	03/12/2016	9	1	1
7177	3	B	05/12/2016	9	1	1
7177	3	B	06/12/2016	11	1	1
7177	3	B	07/12/2016	9	1	1
7177	3	B	08/12/2016	13	1	1
7177	3	B	09/12/2016	13	1	1
7177	3	B	10/12/2016	9	1	1
7177	3	B	11/12/2016	9	1	1
7177	3	B	12/12/2016	9	1	1
7177	3	B	13/12/2016	11	1	1
7177	3	B	14/12/2016	10	1	1
7177	3	B	15/12/2016	11	1	1
7262	4	S+	24/11/2016	8	1	1
7262	4	S+	25/11/2016	9	1	1
7262	4	S+	26/11/2016	11	1	1
7262	4	S+	28/11/2016	9	1	1
7262	4	S+	30/11/2016	10	1	1
7262	4	S+	01/12/2016	11	1	1
7262	4	S+	02/12/2016	8	1	1
7262	4	S+	03/12/2016	8	1	1
7262	4	S+	03/12/2016	9	1	1
7262	4	S+	05/12/2016	9	1	1
7262	4	S+	06/12/2016	11	1	1
7262	4	S+	07/12/2016	9	1	1
7262	4	S+	08/12/2016	13	1	1
7262	4	S+	09/12/2016	13	1	1
7262	4	S+	10/12/2016	9	1	1
7262	4	S+	11/12/2016	9	1	1
7262	4	S+	12/12/2016	9	1	1
7262	4	S+	13/12/2016	11	1	1
7262	4	S+	14/12/2016	10	1	1
7262	4	S+	15/12/2016	11	1	1
7224	5	DD	06/12/2016	11	1	1
7224	5	DD	07/12/2016	9	1	1
7224	5	DD	08/12/2016	13	1	1
7224	5	DD	09/12/2016	13	1	1
7224	5	DD	10/12/2016	9	1	1
7224	5	DD	11/12/2016	9	1	1
7224	5	DD	12/12/2016	9	1	1
7224	5	DD	13/12/2016	11	1	1
7224	5	DD	14/12/2016	10	1	1
7224	5	DD	15/12/2016	11	1	1
7105	7	A	21/11/2016	8	1	1
7105	7	A	22/11/2016	8	1	1
7105	7	A	24/11/2016	8	1	1
7105	7	A	25/11/2016	9	1	1
7105	7	A	26/11/2016	10	1	1
7105	7	A	26/11/2016	11	1	1
7105	7	A	27/11/2016	11	1	1
7105	7	A	29/11/2016	14	1	1
7105	7	A	30/11/2016	9	1	1
7105	7	A	30/11/2016	10	1	1
7105	7	A	04/12/2016	9	1	1
7105	7	A	05/12/2016	9	1	1
7105	7	A	06/12/2016	10	1	1
7105	7	A	06/12/2016	11	1	1
7105	7	A	08/12/2016	12	1	1
7105	7	A	08/12/2016	13	1	1
7105	7	A	09/12/2016	13	1	1
7105	7	A	11/12/2016	9	1	1
7105	7	A	12/12/2016	9	1	1
7105	7	A	13/12/2016	10	1	1
7105	7	A	13/12/2016	11	1	1
7105	7	A	15/12/2016	10	1	1
7105	7	A	15/12/2016	11	1	1
6858	8	A	20/11/2016	8	1	1
6858	8	A	21/11/2016	8	1	1
6858	8	A	22/11/2016	8	1	1
6858	8	A	23/11/2016	9	1	1
6858	8	A	24/11/2016	8	1	1
6858	8	A	25/11/2016	9	1	1
6858	8	A	26/11/2016	11	1	1
6858	8	A	27/11/2016	11	1	1
6858	8	A	28/11/2016	9	1	1
6858	8	A	29/11/2016	14	1	1
6858	8	A	30/11/2016	9	1	1
6858	8	A	30/11/2016	10	1	1
6858	8	A	02/12/2016	8	1	1
6858	8	A	03/12/2016	9	1	1
6858	8	A	04/12/2016	9	1	1
6858	8	A	05/12/2016	9	1	1
6858	8	A	06/12/2016	11	1	1
6858	8	A	07/12/2016	9	1	1
6858	8	A	08/12/2016	12	1	1
6858	8	A	08/12/2016	13	1	1
6858	8	A	10/12/2016	9	1	1
6858	8	A	11/12/2016	9	1	1
6858	8	A	12/12/2016	9	1	1
6858	8	A	13/12/2016	11	1	1
6858	8	A	13/12/2016	13	1	1
6858	8	A	15/12/2016	11	1	1
6723	9	S+	10/12/2016	9	1	1
6723	9	S+	11/12/2016	9	1	1
6723	9	S+	12/12/2016	9	1	1
6723	9	S+	13/12/2016	11	1	1
6723	9	S+	14/12/2016	10	1	1
6723	9	S+	15/12/2016	11	1	1
6506	10	A	15/11/2016	8	1	1
6506	10	A	16/11/2016	9	1	1
6506	10	A	18/11/2016	9	1	1
6506	10	A	19/11/2016	8	1	1
6506	10	A	20/11/2016	8	1	1
6506	10	A	21/11/2016	8	1	1
6506	10	A	22/11/2016	8	1	1
6506	10	A	23/11/2016	9	1	1
6506	10	A	24/11/2016	8	1	1
6506	10	A	25/11/2016	9	1	1
6506	10	A	26/11/2016	11	1	1
6506	10	A	27/11/2016	11	1	1
